NOME,TIPO,APLICACAO,categoria,codigo_fabricante,descricao,link,imagem,Destaque
Base de oligonucleotídeo IDT (25 nmol - 10 umol),Reagentes laboratoriais,"PCR, qPCR, NGS, ddPCR",IDT,COR100014,"CAPITAL QPCR PROBE MASTER MIX 1000 REACOES DE 20UL. MIX CONTENDO DNTPS, MAGNESIO, TAMPAO 2X, ENZIMA TAQ POLIMERASE HOT START. UTILIZADO PARA DETECCAO POR SONDA DE HIDROLISE EM SINGLEPLEX OU MULTIPLEX. CONTEM CORANTE PASSIVO ROX EM BAIXA CONCENTRACAO. CONTEM 5 X 1 ML CAPITAL QPCR PROBE MASTER MIX.",https://www.idtdna.com/page/products/custom-dna-rna/dna-oligos/,\Imagens\produtos\Rabbit.jpg,T
Sonda PrimeTime™ IDT (100 nmol - 1 umol),Reagentes laboratoriais,"qPCR, ddPCR",IDT,COR100016,"4X CAPITAL QPCR GREEN MASTER MIX. FORMULACAO ALTAMENTE SENSIVEL E ESPECIFICA PARA AMPLIFICACAO COM EXCELENTE RELACAO SINAL-RUIDO E RAPIDA TAXA DE EXTENSAO. IDEAL PARA DETECCAO DE ALVOS DE BAIXO NUMERO DE COPIAS EM VASTA FAIXA DE CONCENTRACAO DE TEMPLATES. DESEMPENHO PRECISO E ROBUSTO EM ANALISE DE EXPRESSAO GENICA E VARIACAO DO NUMERO DE COPIAS. COMPATIVEL COM PLATAFORMAS DE QPCR PADRAO, LOW ROX. CONTEM 5 X 1 ML DE CAPITAL QPCR GREEN MASTER MIX. 1000 REACOES DE 20 UL.",https://www.idtdna.com/pages/products/qpcr-and-pcr/gene-expression/primetime-qpcr-probes,\Imagens\produtos\Rabbit.jpg,T
Sonda De Hidrólise Customizada IDT (100 nmol - 10 umol),Reagentes laboratoriais,"qPCR, ddPCR",IDT,COR100016,"REAGENTE PARA RT-QPCR CAPITAL QPCR PROBE MASTER MIX ONE-STEP. MIX CONTENDO DNTPS, MAGNESIO, TAMPAO 4X, ENZIMA TAQ POLIMERASE HOT START, TRANSCRIPTASE REVERSA E INIBIDORES DE RNASE. UTILIZADO PARA TRANSCRICAO REVERSA E AMPLIFICACAO EM ETAPA UNICA. DETECCAO POR SONDA DE HIDROLISE EM SINGLEPLEX OU MULTIPLEX. CONTEM CORANTE PASSIVO ROX EM BAIXA CONCENTRACAO. MIX PARA 1000 REACOES DE 20UL. CONTEM 5 X 1 ML CAPITAL QPCR PROBE MASTER MIX (1STEP) LROX E 5 X 200 UL RTASE WITH RNASE INHIBITOR",https://www.idtdna.com/pages/products/qpcr-and-pcr/gene-expression/primetime-qpcr-probes,\Imagens\produtos\invitek.jpg,F
Ensaio PrimeTime™ IDT (2 primers + 1 Sonda),Reagentes laboratoriais,"qPCR, ddPCR",IDT,COR100006,"TUBOS DE COLETA DE FEZES COM ESTABILIZADOR DE DNA 50 UND. OS TUBOS DESENVOLVIDOS PARA A COLETA E ESTABILIZACAO DE AMOSTRAS DE FEZES USANDO UM ESTABILIZADOR DE DNA LIQUIDO. AS AMOSTRAS SAO FACILMENTE COLETADAS COM A COLHER INTEGRADA NA TAMPA. O ESTABILIZADOR DE DNA CAUSA A INATIVACAO DAS DNASES, PREVENINDO EFICIENTEMENTE A DEGRADACAO DO DNA. AS BACTERIAS NA AMOSTRA SAO PRE-LISADAS, PRESERVANDO O TITULO DE MICROORGANISMOS NO MOMENTO DA COLETA DA AMOSTRA. AMOSTRAS ESTABILIZADAS PODEM SER ARMAZENADAS POR 3 MESES A TEMPERATURA AMBIENTE. 50 UNIDADES",https://www.idtdna.com/pages/products/qpcr-and-pcr/custom-probes/custom-probe-based-qpcr-assays,\Imagens\produtos\1001136100.jpg,T
gBlocks™ - Fragmentos de Gene IDT (125-3000 bases),Reagentes laboratoriais,"PCR, qPCR, NGS, ddPCR",IDT,COR100014,"SWAB COLETOR DE SALIVA COM ESTABILIZADOR DE DNA 50 UND. COLETOR DE AMOSTRAS ORAIS HUMANAS POR SWAB, CONTEM TAMPAO ESTABILIZADOR DE DNA. DNA ESTAVEL POR ATE 6 MESES EM TEMPERATURA AMBIENTE. OTIMIZADO PARA EXTRACAO COM KIT PSP SALIVAGENE SPIN. 50 UNIDADES.",https://www.idtdna.com/pages/products/genes-and-gene-fragments/double-stranded-dna-fragments/gblocks-gene-fragments,\Imagens\produtos\G1245-500G.jpg,T
Ultrâmero™ de DNA (45–200 bases),Reagentes laboratoriais,"PCR, qPCR, ddPCR",IDT,COR100014,"KIT PARA COLETA E ESTABILIZACAO DE DNA DE AMOSTRAS DE SALIVA. CONTEM TUBOS COLETORES CONTENDO TAMPAO LIOFILIZADO QUE ESTABILIZA DNA SALIVAR POR ATE 12 MESES EM TEMPERATURA AMBIENTE. IDEAL PARA APLICACOES EM PCR, NGS, HIBRIDIZACAO. KIT COM 50 UNIDADES",https://www.idtdna.com/pages/products/custom-dna-rna/dna-oligos/ultramer-dna-oligos,\Imagens\produtos\M1363-500G.jpg,F
Gene Sintético (plasmídeo. 25-5000pb),Reagentes laboratoriais,"PCR, qPCR",IDT,COR100014,TAMPAO DE LISE RAPIDA INVIPREP 100 PREPS. PRODUTO DESTINADO A EXTRCAO MANUAL DE DNA DE BACTERIAS E FUNGOS EM MEIO DE CULTURA INDEPENDENTE DE USO DE COLUNAS DE EXTRCAO. 100 PREPARACOES,https://www.idtdna.com/pages/products/genes-and-gene-fragments/custom-gene-synthesis,\Imagens\produtos\invitek.jpg,F
Ensaios PrimeTime™ Gene Expression,Reagentes laboratoriais,"qPCR, ddPCR",IDT,COR100006,"MEIO DE CULTURA LURIA BERTANI, MILLER – CALDO. EMBALAGEM 500G",https://www.idtdna.com/page/products/qpcr-and-pcr/predesigned-pcr-based-assays/primetime-gene-expression-assays,\Imagens\produtos\AL006A-500ML.jpg,F
Ensaios PrimeTime™ Pathogen Research Panels,Reagentes laboratoriais,"qPCR, ddPCR",IDT,COR100006,"CALDO YPD (CALDO YEPD),500G. MEIO DE CULTURA YPD (YEPD) BROTH, FORMULADO COM EXTRATO DE LEVEDURA, PEPTONA E DEXTROSE.500G.",https://www.idtdna.com/page/products/qpcr-and-pcr/predesigned-pcr-based-assays/primetime-pathogen-research-panels,\Imagens\produtos\AL028A.jpg,F
Ensaios PrimeTime™ Sexual Health Research Panels,Reagentes laboratoriais,"qPCR, ddPCR",IDT,COR100006,"SABOURAUD DEXTROSE BROTH. MEIO DE CULTURA INDICADO PARA CULTIVO DE LEVEDURAS, FUNGOS FILAMENTOSOS E MICRORGANISMOS ACIDURICOS CONFORME METODOLOGIA HARMONIZADA USP/EP/BP/JP. 500 GRAMAS.",https://www.idtdna.com/page/products/qpcr-and-pcr/predesigned-pcr-based-assays/primetime-sexual-health-research-panels,\Imagens\produtos\TCL280-500ML.JPG,F
