NOME,TIPO,APLICACAO,categoria,codigo_fabricante,descricao,link,imagem,Destaque
Base de oligonucleotídeo IDT (25 nmol - 10 umol),Reagentes laboratoriais,"PCR, qPCR, NGS, ddPCR",IDT,COR100014,"Nome do produto: Base de oligonucleotídeo IDT (25 nmol – 10 µmol)

Código do produto: COR100014 — Custom (IDT)

Oligonucleotídeos de DNA customizados em escalas de 25 nmol a 10 µmol, com controle de qualidade por espectrometria de massas por eletrospray (ESI-MS) para verificação de identidade do oligo, com traços disponíveis no histórico do pedido. Permite ampla customização com modificações em 5′, internas e 3′, incluindo fluoróforos, dark quenchers, modificadores amino (5′/3′ e interno via amino-dT), biotinilação, tiol, fosforilação 5′ (para uso como substrato de ligase) e fosforilação 3′ (para bloquear extensão por DNA polimerase e reduzir degradação), além de spacers (ex.: C3, Spacer 9, Spacer 18 e dSpacer) e modificações para click chemistry (ex.: DBCO).",https://www.idtdna.com/page/products/custom-dna-rna/dna-oligos/,\Imagens\produtos\Rabbit.jpg,T
Sonda PrimeTime™ IDT (100 nmol - 1 umol),Reagentes laboratoriais,"qPCR, ddPCR",IDT,COR100016,"Sonda PrimeTime™ IDT (100 nmol – 1 µmol)

Código do produto: COR100016 - Custom (IDT)

Sondas PrimeTime™ qPCR Probes são probes de 5′ nuclease para qPCR em tempo real, customizáveis em escalas de 100 nmol a 1 µmol, HPLC-purificadas e com controle de qualidade por espectrometria de massas (ESI-MS) conforme publicado pela IDT, com traços de QC disponíveis para download após pedido. PrimeTime™ oferece combinações de repórter/quencher compatíveis com instrumentos comuns de qPCR, incluindo dyes como FAM (520 nm), SUN™ (554 nm), HEX (555 nm), TET (539 nm), JOE (555 nm) e Cy®5 (668 nm), e quencher/IP internal systems como ZEN™ + Iowa Black™ FQ ou TAO™ + Iowa Black™ RQ, permitindo probes dupla-quenched para menor fluorescência de fundo, menor Cq e maior sinal final (especialmente útil em multiplex e alvos AT-rich). A plataforma suporta formas single-quenched ou double-quenched e opções de dyes license-free, com emissões adequadas para multiplexing sem sobreposição espectral significativa.",https://www.idtdna.com/pages/products/qpcr-and-pcr/gene-expression/primetime-qpcr-probes,\Imagens\produtos\Rabbit.jpg,T
Sonda De Hidrólise Customizada IDT (100 nmol - 10 umol),Reagentes laboratoriais,"qPCR, ddPCR",IDT,COR100016,"Sonda De Hidrólise Customizada IDT (100 nmol - 10 umol)

Código do produto: COR100016 - Custom (IDT)

Sondas de hidrólise para qPCR são probes de 5′ nuclease para qPCR em tempo real, customizáveis em escalas de 100 nmol a 10 µmol, HPLC-purificadas e com controle de qualidade por espectrometria de massas (ESI-MS) conforme publicado pela IDT, com traços de QC disponíveis para download após pedido. PrimeTime™ oferece combinações de repórter/quencher compatíveis com instrumentos comuns de qPCR, incluindo dyes como FAM (520 nm), SUN™ (554 nm), HEX (555 nm), TET (539 nm), JOE (555 nm) e Cy®5 (668 nm), e quencher/IP internal systems como ZEN™ + Iowa Black™ FQ ou TAO™ + Iowa Black™ RQ, permitindo probes dupla-quenched para menor fluorescência de fundo, menor Cq e maior sinal final (especialmente útil em multiplex e alvos AT-rich). A plataforma suporta formas single-quenched ou double-quenched e opções de dyes license-free, com emissões adequadas para multiplexing sem sobreposição espectral significativa.",https://www.idtdna.com/pages/products/qpcr-and-pcr/gene-expression/primetime-qpcr-probes,\Imagens\produtos\invitek.jpg,F
Ensaio PrimeTime™ IDT (2 primers + 1 Sonda),Reagentes laboratoriais,"qPCR, ddPCR",IDT,COR100006,"Ensaio PrimeTime™ IDT (2 primers + 1 sonda)

Código do produto: COR100006 — Custom

Ensaio completo para qPCR baseado em sonda de hidrólise (5′ nuclease), fornecido como conjunto integrado contendo dois primers e uma sonda. Os oligonucleotídeos passam por controle de qualidade individual por espectrometria de massas (ESI-MS), com dados disponíveis no histórico do pedido. Compatível com os principais fluoróforos utilizados em qPCR, incluindo FAM™, HEX™, SUN™, TET™, JOE™ e Cy5™, associados a sistemas de duplo quencher (ZEN™ ou TAO™ combinados com Iowa Black™ FQ ou RQ), reduzindo fluorescência basal e melhorando a relação sinal/ruído, inclusive em ensaios multiplex. Disponível nos formatos Mini, Standard (Std) e XL, adequados a diferentes volumes de reação e necessidades de escalonamento experimental.",https://www.idtdna.com/pages/products/qpcr-and-pcr/custom-probes/custom-probe-based-qpcr-assays,\Imagens\produtos\1001136100.jpg,T
gBlocks™ - Fragmentos de Gene IDT (125-3000 bases),Reagentes laboratoriais,"PCR, qPCR, NGS, ddPCR",IDT,COR100014,"gBlocks™ – Fragmentos de Gene IDT (125–3000 bases)

Código do produto: COR100014 — Custom

Fragmentos sintéticos de DNA fita dupla (dsDNA) fornecidos como DNA linear, com comprimentos entre 125 e 3000 pares de bases e taxa mediana de erro < 1:5000. O controle de qualidade padrão inclui verificação de tamanho por eletroforese capilar (capillary electrophoresis). Existe opção de serviço adicional de QC/relatório (liberação de documentação quando contratado), adequado para ambientes que precisam formalizar rastreabilidade do lote.",https://www.idtdna.com/pages/products/genes-and-gene-fragments/double-stranded-dna-fragments/gblocks-gene-fragments,\Imagens\produtos\G1245-500G.jpg,T
Ultrâmero™ de DNA (45–200 bases),Reagentes laboratoriais,"PCR, qPCR, ddPCR",IDT,COR100014,"Ultrâmero™ de DNA (45–200 bases)

Código do produto: COR100014 — Custom

Oligonucleotídeos de DNA fita simples com comprimentos estendidos de 45 a 200 bases, fabricados com química proprietária para maximizar a fração de produto full-length. Cada Ultramer™ é acompanhado de controle de qualidade por ESI-MS, com documentação disponível, sendo indicado para mutagênese, templates longos, controles sintéticos e aplicações que exigem alta precisão em oligos longos.",https://www.idtdna.com/pages/products/custom-dna-rna/dna-oligos/ultramer-dna-oligos,\Imagens\produtos\M1363-500G.jpg,F
Gene Sintético (plasmídeo. 25-5000pb),Reagentes laboratoriais,"PCR, qPCR",IDT,COR100014,"Gene Sintético (plasmídeo, 25–5000 pb)

Código do produto: COR100014 — Custom

Genes sintéticos customizados fornecidos em vetor plasmidial, com tamanhos entre 25 e 5000 pares de bases. Estão disponíveis vetores de clonagem (pUCIDT) e vetores de expressão (pET-IDT), permitindo flexibilidade conforme a aplicação downstream. Todos os construtos passam por verificação completa por sequenciamento de nova geração (NGS). O fornecimento inclui arquivo FASTA validado, mapa plasmidial e relatório de controle de qualidade, assegurando fidelidade total da sequência para expressão gênica, estudos funcionais e validação molecular.",https://www.idtdna.com/pages/products/genes-and-gene-fragments/custom-gene-synthesis,\Imagens\produtos\invitek.jpg,F
Ensaios PrimeTime™ Gene Expression,Reagentes laboratoriais,"qPCR, ddPCR",IDT,COR100006,"Ensaios PrimeTime™ Gene Expression

Código do produto: COR100006 — Custom

Ensaios de qPCR para análise de expressão gênica, fornecidos como ensaios pré-desenhados (primers + sondas), disponíveis para humano, camundongo e rato. Os ensaios são projetados para alta eficiência e especificidade, reduzindo a necessidade de otimização experimental. Compatíveis com multiplexação, são disponibilizados com sondas marcadas com FAM™, SUN™, Texas Red™ e Cy5™, utilizando sistemas de duplo quencher para menor fluorescência basal e maior precisão quantitativa. Entregues como sistemas completos, permitem integração direta a workflows de qPCR já estabelecidos para estudos de expressão gênica quantitativa.",https://www.idtdna.com/page/products/qpcr-and-pcr/predesigned-pcr-based-assays/primetime-gene-expression-assays,\Imagens\produtos\AL006A-500ML.jpg,F
Ensaios PrimeTime™ Pathogen Research Panels,Reagentes laboratoriais,"qPCR, ddPCR",IDT,COR100006,"Ensaios PrimeTime™ Pathogen Research Panels

Código do produto: COR100006 — Custom

Painéis de pesquisa para detecção molecular de patógenos, compostos por ensaios pré-desenhados (primers + sondas) prontos para qPCR. O portfólio total inclui 211 alvos, compartilhados com os painéis de saúde sexual, distribuídos em múltiplas categorias de patógenos. Estão disponíveis alvos amplamente utilizados em pesquisa, como SARS-CoV-2, Influenza A e B, RSV, Dengue, Zika, Chikungunya, HPV, Chlamydia trachomatis e Neisseria gonorrhoeae. Os ensaios são compatíveis com multiplex, oferecidos com sondas marcadas com FAM™, SUN™, Texas Red™ e Cy5™, e entregues como sistemas completos, reduzindo tempo de implementação e padronização do ensaio.",https://www.idtdna.com/page/products/qpcr-and-pcr/predesigned-pcr-based-assays/primetime-pathogen-research-panels,\Imagens\produtos\AL028A.jpg,F
Ensaios PrimeTime™ Sexual Health Research Panels,Reagentes laboratoriais,"qPCR, ddPCR",IDT,COR100006,"Ensaios PrimeTime™ Sexual Health Research Panels

Código do produto: COR100006 — Custom

Painéis de pesquisa voltados à saúde sexual, compostos por ensaios pré-desenhados (primers + sondas) que integram o conjunto total de 211 alvos PrimeTime™. Abrangem alvos relevantes associados a infecções sexualmente transmissíveis, incluindo HPV (alto e baixo risco), Chlamydia trachomatis, Neisseria gonorrhoeae, Mycoplasma genitalium, Trichomonas vaginalis e agentes relacionados a UTI. Os ensaios são compatíveis com multiplexação, disponibilizados com sondas marcadas com FAM™, SUN™, Texas Red™ e Cy5™, e entregues como sistemas completos, permitindo integração direta a workflows de qPCR já estabelecidos.",https://www.idtdna.com/page/products/qpcr-and-pcr/predesigned-pcr-based-assays/primetime-sexual-health-research-panels,\Imagens\produtos\TCL280-500ML.JPG,F
